# producer	gap -q gap/generate-tomlib-scan.g
# gap_version	4.15.1
# tomlib_version	1.2.11
# semantics	exact relative to the complete subgroup-class and intersection data in each supplied TomLib table
table_name	group_order	subgroup_classes	maximal_classes	normal_classes	nonabelian_simple	solvable	chief_factor_orders	cmp	failed_maximal_classes
3^2.3^(1+2):8	1944	30	2	7	false	fail	not_computed	false	29,26
3^2.3^(1+2):8.2	3888	75	4	10	false	fail	not_computed	false	72,66
3^2:2A4	216	20	3	5	false	fail	not_computed	false	18
3^2:2S4x2	864	144	6	14	false	fail	not_computed	false	139
3^2:Q8	72	14	4	7	false	fail	not_computed	false	13,12,11
3^3:(2xS4)	1296	176	6	10	false	true	2,2,3,4,27	true	none
3^3:L3(3)	151632	454	5	3	false	fail	not_computed	false	416
3^3:S4	648	64	4	5	false	true	2,3,4,27	true	none
3^3:S4`	648	58	4	5	false	true	2,3,4,27	true	none
3^4:(2xA6)	58320	517	7	5	false	fail	not_computed	false	515,514,513,510,509
3^4:(M10x2)	116640	479	7	8	false	fail	not_computed	false	476,474,462,454
3^4:2(A4xA4).2	46656	810	8	14	false	true	2,3,3,4,4,2,81	true	none
3^4:2^3.S4	15552	503	6	9	false	true	2,3,4,4,2,81	true	none
3^4:2^3.S4(a)	15552	859	6	9	false	true	2,3,4,4,2,81	true	none
3^4:A6	29160	302	14	3	false	fail	not_computed	false	301,300,299,298,297
3^4:GL2(9)	466560	444	5	9	false	fail	not_computed	false	443,440,433,425
3^4:M10	58320	236	7	4	false	fail	not_computed	false	235,234,227,225
3^4:S5	9720	189	5	4	false	fail	not_computed	false	185
3x2S5	720	56	5	8	false	fail	not_computed	false	50
3xL2(8)	1512	26	4	4	false	fail	not_computed	false	22,21
3xU4(2)	77760	337	6	4	false	fail	not_computed	false	334,333,332,331
4(A4xA4).4	2304	676	10	31	false	fail	not_computed	false	618
4.2^4:S5	7680	533	6	6	false	fail	not_computed	false	529
41:4	164	6	2	4	false	fail	not_computed	false	5
43:3	129	4	2	3	false	true	3,43	true	none
4^2:D12	192	83	5	10	false	fail	not_computed	false	78
4^2:D12.2	384	117	5	13	false	true	2,2,2,3,4,4	true	none
4^2:S3	96	24	3	5	false	fail	not_computed	false	21
4^3:L3(2)	10752	422	5	4	false	fail	not_computed	false	419
5:4	20	6	2	4	false	fail	not_computed	false	5
5:4xA5	1200	72	5	8	false	fail	not_computed	false	71,67,66
